lon,lat,ISO,absArea,relArea
-179.75,-16.25,FJI,2.505,0.08
-179.75,65.25,RUS,957.046,74.11
-179.75,65.75,RUS,943.736,74.5
-179.75,66.25,RUS,1079.068,86.88
-179.75,66.75,RUS,1217.267,100.0
-179.75,67.25,RUS,1192.396,100.0
-179.75,67.75,RUS,1167.44,100.0
-179.75,68.25,RUS,1142.4,100.0
-179.75,68.75,RUS,941.854,84.3
-179.75,70.75,RUS,102.852,10.12
-179.75,71.25,RUS,990.522,100.0
-179.25,66.25,RUS,736.21,59.27
-179.25,66.75,RUS,1217.267,100.0
-179.25,67.25,RUS,1192.396,100.0
-179.25,67.75,RUS,1167.44,100.0
-179.25,68.25,RUS,1142.4,100.0
-179.25,68.75,RUS,776.757,69.52
-179.25,70.75,RUS,204.278,20.11
-179.25,71.25,RUS,990.522,100.0
-179.25,71.75,RUS,127.078,13.17
-178.75,-20.75,FJI,12.123,0.42
-178.75,-18.25,FJI,64.387,2.18
-178.75,65.75,RUS,316.346,24.97
-178.75,66.25,RUS,759.193,61.12
-178.75,66.75,RUS,1217.267,100.0
-178.75,67.25,RUS,1192.396,100.0
-178.75,67.75,RUS,1167.44,100.0
-178.75,68.25,RUS,1142.4,100.0
-178.75,68.75,RUS,450.258,40.3
-178.75,70.75,RUS,93.934,9.25
-178.75,71.25,RUS,990.522,100.0
-178.25,-14.25,WLF,74.459,2.47
-178.25,65.25,RUS,109.747,8.5
-178.25,65.75,RUS,1196.195,94.43
-178.25,66.25,RUS,1191.205,95.91
-178.25,66.75,RUS,1217.267,100.0
-178.25,67.25,RUS,1192.396,100.0
-178.25,67.75,RUS,1167.44,100.0
-178.25,68.25,RUS,1114.759,97.58
-178.25,70.75,RUS,13.755,1.35
-178.25,71.25,RUS,937.067,94.6
-177.75,-29.25,NZL,30.884,1.14
-177.75,51.75,USA,372.561,19.46
-177.75,65.25,RUS,130.838,10.13
-177.75,65.75,RUS,1266.748,100.0
-177.75,66.25,RUS,1242.052,100.0
-177.75,66.75,RUS,1217.267,100.0
-177.75,67.25,RUS,1192.396,100.0
-177.75,67.75,RUS,1167.44,100.0
-177.75,68.25,RUS,817.872,71.59
-177.75,71.25,RUS,492.522,49.72
-177.25,28.25,UMI,6.481,0.24
-177.25,51.75,USA,331.105,17.29
-177.25,65.25,RUS,40.356,3.13
-177.25,65.75,RUS,1176.563,92.88
-177.25,66.25,RUS,1242.052,100.0
-177.25,66.75,RUS,1217.267,100.0
-177.25,67.25,RUS,1192.396,100.0
-177.25,67.75,RUS,1167.44,100.0
-177.25,68.25,RUS,477.829,41.83
-176.75,-44.25,NZL,167.844,7.56
-176.75,-43.75,NZL,346.767,15.49
-176.75,51.75,USA,690.477,36.06
-176.75,65.75,RUS,1088.212,85.91
-176.75,66.25,RUS,1242.052,100.0
-176.75,66.75,RUS,1217.267,100.0
-176.75,67.25,RUS,1192.396,100.0
-176.75,67.75,RUS,1167.159,99.98
-176.25,-43.75,NZL,148.717,6.64
-176.25,-13.25,WLF,83.117,2.74
-176.25,65.25,RUS,69.119,5.35
