Country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S
Afghanistan,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,9,,0,.,0,.,0,.,0,.,0,.,0,.,0,.,6853,
Albania,All,Export,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,615,,333,,475,,0,.,1822,,1577,,2951,,2905,,5904,,2925,,1556,,2280,F,1660,F,2453,F,5453,,5476,,5231,,8887,,5470,,6910,,8727,F,13516,,17173,,1732,,1793,,1919,,2858,,32604,,36386,,37604,,36682,,40766,,46117,,47963,,63189,,94047,,107682,
Albania,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,171,,182,,102,,80,,70,,120,F,80,F,420,F,460,F,2055,F,1881,,2697,,2914,,6108,,4615,,5246,,9798,,11190,,13570,,15292,,16352,,17754,,26091,,27190,,28893,,34361,,28309,,34088,,43675,,47422,,53962,,75792,,87241,
Albania,All,Reexports,Value (USD 1000),USD 1000,0,,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,16516,,22202,,23206,,26371,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Algeria,All,Export,Value (USD 1000),USD 1000,4731,,1653,,366,,297,,389,,347,,37,,163,,182,,188,,247,,336,,351,,428,,1064,,1944,,5122,,2117,,2361,,4544,,3515,,2288,,1178,,2734,,4205,,4876,,5816,,6454,,8200,,10924,,11244,,12164,,13335,,8498,,5899,,5868,,5820,,5759,,7047,,6317,,6675,,9543,,13538,F
Algeria,All,Import,Value (USD 1000),USD 1000,3276,,7482,,6949,,8468,,9372,,13633,,13066,,19545,,22941,,30471,,35786,,23969,,31147,,13409,,6257,,1714,,8229,,5073,,9460,,33028,,7247,,9973,,7864,,13352,,12546,F,14015,,9260,,16616,,23320,,21077,,30607,,27581,,31417,,54058,,50643,,58593,,65886,,91477,,136431,,109897,,109461,,123779,,125738,F
Andorra,All,Export,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,2,,15,,0,.,0,.,0,.,0,0,0,.,0,.,1,,0,0,51,F,0,.,0,.,1,,24,,0,.,21,,3,,4,,1,,8,F,3,F,8,F,5,
Andorra,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,12309,,13076,,12741,,13261,,13409,,11910,,12550,,14229,,17743,,20140,,21421,F,20402,,22000,,22256,,19961,,19206,,20574,,18116,,19029,,20385,,21072,F,20846,F,19544,,19842,
Angola,All,Export,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,6296,F,3560,F,3490,F,4830,F,5657,F,4932,F,7165,,5768,F,3922,F,9273,F,11618,F,10043,F,10839,F,21411,F,28181,F,8874,F,11945,F,16840,F,21772,F,28039,F,34372,F,41598,,44764,,34342,,59262,,66463,,71878,,74159,,98739,,69597,,81289,
Angola,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,57400,F,47200,F,65950,F,71100,F,62810,F,76670,F,70240,,62105,F,53400,F,19050,F,17700,F,13400,F,8489,F,9735,F,10668,F,14435,F,12052,F,14524,F,16336,F,17942,F,18125,F,20342,F,32225,F,33381,F,61299,F,70452,F,124430,F,117402,,124092,,206027,,346072,,257197,,321949,,236096,,139266,,217060,,197810,
