type;old_name;new_name
PRODUCT;HARDCOAL;HARDCOAL_ND
PRODUCT;BROWN;BROWNCOAL_ND
PRODUCT;ANTCOAL;ANTHRACITE
PRODUCT;COKCOAL;COKING_COAL
PRODUCT;BITCOAL;OTH_BITCOAL
PRODUCT;OVENCOKE;COKE_OVEN_COKE_OTH
PRODUCT;BLFURGS;BLAST_FURNACE_GAS
PRODUCT;PRIMSBIO;PRIMARY_SOLID_BIOFUEL
PRODUCT;NATGAS;NATURAL_GAS
PRODUCT;CRUDEOIL;CRUDE_OIL
PRODUCT;NONCRUDE;OIL_PRIM_PRODUCTS_ND
PRODUCT;REFINGAS;REFINERY_GAS
PRODUCT;NONBIOGASO;MOTOR_GASOLINE_NONBIO
PRODUCT;NONBIOJETK;KEROSENE_JET_NONBIO
PRODUCT;OTHKERO;KEROSENE_OTHER
PRODUCT;NONBIODIES;GAS_DIESEL_OIL_NONBIO
PRODUCT;RESFUEL;FUEL_OIL_RESIDUAL
PRODUCT;WHITESP;WHITE_SPIRIT
PRODUCT;LUBRIC;LUBRICANTS
PRODUCT;PETCOKE;PETROLEUM_COKE
PRODUCT;ONONSPEC;OTH_SEC_OIL_PRODS_ND
PRODUCT;SOLARPV;SOLAR_PV
PRODUCT;SOLARTH;SOLAR_THERMAL
PRODUCT;ELECTR;ELECTRICITY
PRODUCT;MRENEW;RENEWABLES_TOTAL
PRODUCT;GASWKSGS;GASWORKS_GAS
PRODUCT;COKEOVGS;COKE_OVEN_GAS
PRODUCT;REFFEEDS;REFINERY_FEEDSTOCKS
PRODUCT;ADDITIVE;ADDITIVES
PRODUCT;AVGAS;AVIATION_GASOLINE
PRODUCT;COALTAR;COAL_TAR
PRODUCT;BIOGASOL;BIOGASOLINE
PRODUCT;PARWAX;PARAFFIN_WAXES
PRODUCT;PATFUEL;PATENT_FUEL
PRODUCT;JETGAS;GASOLINE_JET
PRODUCT;SUBCOAL;SUB_BITCOAL
PRODUCT;GASCOKE;GAS_COKE
PRODUCT;MANGAS;MANUFACTURED_GAS_OUTPUT
PRODUCT;INDWASTE;WASTE_INDUSTRIAL_NONREN
PRODUCT;RENEWNS;OTH_ENSOURC
PRODUCT;CRNGFEED;HYDROCARBONS_OTHER
PRODUCT;GEOTHERM;GEOTHERMAL
PRODUCT;OGASES;OTH_RECOVGASES
PRODUCT;MUNWASTER;WASTE_MUNICIPAL_REN
PRODUCT;MUNWASTEN;WASTE_MUNICIPAL_NONREN
PRODUCT;OBIOLIQ;LIQBIOFUEL_OTHER
PRODUCT;HEATNS;HEAT_COMBUSTIBLES_NS
PRODUCT;PEATPROD;PEAT_PRODUCTS
PRODUCT;OILSHALE;OIL_SHALE
PRODUCT;TIDE;TIDAL_WAVE_OCEAN
PRODUCT;BIOJETKERO;KEROSENE_JET_BIO
PRODUCT;OTHER;BIOFUEL_NONSPEC
FLOW;STOCKCHA;STCHANAT
FLOW;AGRICULT;AGRI_FOREST
FLOW;AVBUNK;BUNKERS_AVIATION
FLOW;MARBUNK;BUNKERS_MARINE
FLOW;TRANSFER;TRANSFERS
FLOW;NECHEM;NE_CHEM
FLOW;NECONSTRUC;NE_CONSTRUC
FLOW;NEFOODPRO;NE_FOODPRO
FLOW;NEIND;NE_IND
FLOW;NEINTREN;NE_IND_TRANSF
FLOW;NEINONSPEC;NE_INONSPEC
FLOW;NEIRONSTL;NE_IRONSTL
FLOW;NEMACHINE;NE_MACHINE
FLOW;NEMINING;NE_MINING
FLOW;NENONFERR;NE_NONFERR
FLOW;NENONMET;NE_NONMET
FLOW;NEOTHER;NE_OTHER
FLOW;NEPAPERPRO;NE_PAPERPRO
FLOW;NETEXTILES;NE_TEXTILES
FLOW;NEWOODPRO;NE_WOODPRO
FLOW;NETRANS;NE_TRANS
FLOW;NETRANSEQ;NE_TRANSEQ
FLOW;NONENUSE;NE_TOT
