iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment;EDGEitems;EDGE_buildings
ADDITIVE;EXPORTS;;;;;;;
ADDITIVE;IMPORTS;;;;;;;
ADDITIVE;INDPROD;;;;;;;
ADDITIVE;NEINTREN;;;;;;;
ADDITIVE;NONENUSE;seliqfos;feli_chemicals;tdli_chemicals;1;;fenonliquid;
ADDITIVE;NONENUSE;seliqfos;feli_chemicals;tdli_chemicals;1;;;
ADDITIVE;NONENUSE;rep_seliq;rep_feho;rep_nonenergy;1;;;
ADDITIVE;STATDIFF;;;;;;;
ADDITIVE;STOCKCHA;;;;;;;
ADDITIVE;TES;;;;;;;
ADDITIVE;TFC;peoil;seliqfos;refliq;1;;;
ADDITIVE;TOTTRANF;;;;;;;
ADDITIVE;TRANSFER;;;;;;;
ADDITIVE;TREFINER;;;;;;;
ANTCOAL;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;feagrsolid;
ANTCOAL;AUTOCHP;;;;;;;
ANTCOAL;AUTOELEC;;;;;;;
ANTCOAL;AUTOHEAT;;;;;;;
ANTCOAL;CHEMICAL;sesofos;feso_chemicals;tdso_chemicals;1;;;
ANTCOAL;COMMPUB;sesofos;fesob;tdfossob;1;;fesercoal;coal
ANTCOAL;CONSTRUC;sesofos;feso_otherInd;tdso_otherInd;1;;;
ANTCOAL;DISTLOSS;pecoal;sesofos;coaltr;-1;;;
ANTCOAL;ECOKEOVS;;;;;This flow is an input or output of coke ovens or blast furnaces that is already accounted for under IRONSTL after the tool_fix_IEA_data_for_Industry_subsectors function. Hence, it does not need to be mapped anymore.;;
ANTCOAL;ELAUTOC;pecoal;seel;coalchp;1;;;
ANTCOAL;ELAUTOE;pecoal;seel;pc;1;;;
ANTCOAL;ELMAINC;pecoal;seel;coalchp;1;;;
ANTCOAL;ELMAINE;pecoal;seel;pc;1;;;
ANTCOAL;ELOUTPUT;;;;;;;
ANTCOAL;EMINES;;;;;;;
ANTCOAL;ENONSPEC;;;;;;;
ANTCOAL;EPATFUEL;;;;;;;
ANTCOAL;EPOWERPLT;;;;;;;
ANTCOAL;EXPORTS;;;;;;;
ANTCOAL;FOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;;;
ANTCOAL;HEATOUT;;;;;;;
ANTCOAL;HEAUTOC;pecoal;sehe;coalchp;1;;;
ANTCOAL;HEAUTOH;pecoal;sehe;coalhp;1;;;
ANTCOAL;HEMAINC;pecoal;sehe;coalchp;1;;;
ANTCOAL;HEMAINH;pecoal;sehe;coalhp;1;;;
ANTCOAL;IMPORTS;;;;;;;
ANTCOAL;INDPROD;;;;;;;
ANTCOAL;INONSPEC;sesofos;feso_otherInd;tdso_otherInd;1;;;
ANTCOAL;IRONSTL;sesofos;feso_steel;tdso_steel;1;;;
ANTCOAL;MACHINE;sesofos;feso_otherInd;tdso_otherInd;1;;;
ANTCOAL;MAINCHP;;;;;;;
ANTCOAL;MAINELEC;;;;;;;
ANTCOAL;MAINHEAT;;;;;;;
ANTCOAL;MANUFACT;;;;;;;
ANTCOAL;MINING;sesofos;feso_otherInd;tdso_otherInd;1;;;
ANTCOAL;NECHEM;;;;;;;
ANTCOAL;NEINTREN;;;;;;;
ANTCOAL;NEOTHER;;;;;;;
ANTCOAL;NONENUSE;sesofos;feso_chemicals;tdso_chemicals;1;;fenonsolid;
ANTCOAL;NONENUSE;sesofos;feso_chemicals;tdso_chemicals;1;;;
ANTCOAL;NONENUSE;rep_seliq;rep_feho;rep_nonenergy;1;;;
ANTCOAL;NONFERR;sesofos;feso_otherInd;tdso_otherInd;1;;;
ANTCOAL;NONMET;sesofos;feso_cement;tdso_cement;1;;;
ANTCOAL;ONONSPEC;sesofos;fesob;tdfossob;1;;feothsolid;
ANTCOAL;PAPERPRO;sesofos;feso_otherInd;tdso_otherInd;1;;;
ANTCOAL;RAIL;sesofos;feso_otherInd;tdso_otherInd;1;;feindsolid;
ANTCOAL;RAIL;rep_sesofos;rep_feso;rep_rail;1;;;
ANTCOAL;RESIDENT;sesofos;fesob;tdfossob;1;;ferescoal;coal
ANTCOAL;STATDIFF;;;;;;;
ANTCOAL;STOCKCHA;;;;;;;
ANTCOAL;TBLASTFUR;;;;;This flow is an input or output of coke ovens or blast furnaces that is already accounted for under IRONSTL after the tool_fix_IEA_data_for_Industry_subsectors function. Hence, it does not need to be mapped anymore.;;
ANTCOAL;TBLENDGAS;;;;;;;
ANTCOAL;TCOKEOVS;;;;;This flow is an input or output of coke ovens or blast furnaces that is already accounted for under IRONSTL after the tool_fix_IEA_data_for_Industry_subsectors function. Hence, it does not need to be mapped anymore.;;
ANTCOAL;TES;;;;;;;
ANTCOAL;TEXTILES;sesofos;feso_otherInd;tdso_otherInd;1;;;
ANTCOAL;TFC;pecoal;sesofos;coaltr;1;;;
ANTCOAL;TGASWKS;;;;;;;
ANTCOAL;TNONSPEC;;;;;;;
ANTCOAL;TOTENGY;;;;;;;
ANTCOAL;TOTIND;;;;;;feindsolid;
ANTCOAL;TOTOTHER;;;;;;;
ANTCOAL;TOTTRANF;;;;;;;
ANTCOAL;TOTTRANS;;;;;;;
ANTCOAL;TPATFUEL;;;;;;;
ANTCOAL;TRANSEQ;sesofos;feso_otherInd;tdso_otherInd;1;;;
ANTCOAL;TRNONSPE;;;;;;;
ANTCOAL;WOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;;;
AVGAS;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;feagrliquid;
AVGAS;AVBUNK;peoil;seliqfos;refliq;-1;;fetraliquid;
AVGAS;AVBUNK;peoil;seliqfos;refliq;-1;;;
AVGAS;AVBUNK;peoil;seliqfos;refliq;-1;;;
AVGAS;AVBUNK;seliqfos;fedie;tdfosdie;-1;;fetraliquid;
AVGAS;AVBUNK;seliqfos;fedie;tdfosdie;-1;;;
AVGAS;AVBUNK;seliqfos;fedie;tdfosdie;-1;;;
AVGAS;AVBUNK;rep_seliq;rep_fedie;rep_bunkers;-1;;;
AVGAS;AVBUNK;rep_seliq;rep_fedie;rep_intav;-1;;;
AVGAS;CHEMICAL;seliqfos;feli_chemicals;tdli_chemicals;1;;;
AVGAS;COMMPUB;seliqfos;fehob;tdfoshob;1;;feserliquid;petrol
AVGAS;CONSTRUC;seliqfos;feli_otherInd;tdli_otherInd;1;;;
AVGAS;DISTLOSS;peoil;seliqfos;refliq;-1;;;
AVGAS;DOMESAIR;seliqfos;fedie;tdfosdie;1;;fetraliquid;
AVGAS;DOMESAIR;rep_seliqfos;rep_fedie;rep_domair;1;;;
AVGAS;ENONSPEC;;;;;;;
AVGAS;EREFINER;;;;;;;
AVGAS;EXPORTS;;;;;;;
AVGAS;FOODPRO;seliqfos;feli_otherInd;tdli_otherInd;1;;;
AVGAS;IMPORTS;;;;;;;
AVGAS;INONSPEC;seliqfos;feli_otherInd;tdli_otherInd;1;;;
AVGAS;IRONSTL;seliqfos;feli_steel;tdli_steel;1;;;
AVGAS;MACHINE;seliqfos;feli_otherInd;tdli_otherInd;1;;;
AVGAS;MANUFACT;;;;;;;
AVGAS;MARBUNK;peoil;seliqfos;refliq;-1;;fetraliquid;
AVGAS;MARBUNK;peoil;seliqfos;refliq;-1;;;
AVGAS;MARBUNK;peoil;seliqfos;refliq;-1;;;
AVGAS;MARBUNK;seliqfos;fedie;tdfosdie;-1;;fetraliquid;
AVGAS;MARBUNK;seliqfos;fedie;tdfosdie;-1;;;
AVGAS;MARBUNK;seliqfos;fedie;tdfosdie;-1;;;
AVGAS;MARBUNK;rep_seliq;rep_fedie;rep_bunkers;-1;;;
AVGAS;MARBUNK;rep_seliq;rep_fedie;rep_intnav;-1;;;
AVGAS;MINING;seliqfos;feli_otherInd;tdli_otherInd;1;;;
AVGAS;NETRANS;;;;;;;
AVGAS;NONENUSE;seliqfos;feli_chemicals;tdli_chemicals;1;;fenonliquid;
AVGAS;NONENUSE;seliqfos;feli_chemicals;tdli_chemicals;1;;;
AVGAS;NONENUSE;rep_seliq;rep_feho;rep_nonenergy;1;;;
AVGAS;NONFERR;seliqfos;feli_otherInd;tdli_otherInd;1;;;
AVGAS;NONMET;seliqfos;feli_cement;tdli_cement;1;;;
AVGAS;ONONSPEC;seliqfos;fehob;tdfoshob;1;;feothliquid;
AVGAS;PAPERPRO;seliqfos;feli_otherInd;tdli_otherInd;1;;;
AVGAS;ROAD;seliqfos;fedie;tdfosdie;1;;fetraliquid;
AVGAS;ROAD;rep_seliqfos;rep_fedie;rep_road;1;;;
AVGAS;STATDIFF;;;;;;;
AVGAS;STOCKCHA;;;;;;;
AVGAS;TES;;;;;;;
AVGAS;TEXTILES;seliqfos;feli_otherInd;tdli_otherInd;1;;;
AVGAS;TFC;peoil;seliqfos;refliq;1;;;
AVGAS;TOTENGY;;;;;;;
AVGAS;TOTIND;;;;;;feindliquid;
AVGAS;TOTOTHER;;;;;;;
AVGAS;TOTTRANF;;;;;;;
AVGAS;TOTTRANS;;;;;;;
AVGAS;TRANSEQ;seliqfos;feli_otherInd;tdli_otherInd;1;;;
AVGAS;TRANSFER;;;;;;;
AVGAS;TREFINER;;;;;;;
AVGAS;TRNONSPE;seliqfos;fedie;tdfosdie;1;;fetraliquid;
AVGAS;TRNONSPE;rep_seliqfos;rep_fedie;rep_trnonspe;1;;;
AVGAS;WOODPRO;seliqfos;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;AGRICULT;seliqbio;feli_otherInd;tdli_otherInd;1;;feagrliquid;
BIODIESEL;AUTOCHP;;;;;;;
BIODIESEL;AUTOELEC;;;;;;;
BIODIESEL;AUTOHEAT;;;;;;;
BIODIESEL;AVBUNK;seliqbio;fedie;tdbiodie;-1;;fetraliquid;
BIODIESEL;CHEMICAL;seliqbio;feli_chemicals;tdli_chemicals;1;;;
BIODIESEL;COMMPUB;seliqbio;fehob;tdbiohob;1;;feserliquid;petrol
BIODIESEL;CONSTRUC;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;DISTLOSS;;;;;;;
BIODIESEL;DOMESNAV;seliqbio;fedie;tdbiodie;1;;fetraliquid;
BIODIESEL;DOMESNAV;rep_liqbio;rep_fedie;rep_domnav;1;;;
BIODIESEL;EBLASTFUR;;;;;This flow is an input or output of coke ovens or blast furnaces that is already accounted for under IRONSTL after the tool_fix_IEA_data_for_Industry_subsectors function. Hence, it does not need to be mapped anymore.;;
BIODIESEL;ELAUTOC;pebiolc;seel;biochp;1;;;
BIODIESEL;ELAUTOE;pebiolc;seel;bioigcc;1;;;
BIODIESEL;ELMAINC;pebiolc;seel;biochp;1;;;
BIODIESEL;ELMAINE;pebiolc;seel;bioigcc;1;;;
BIODIESEL;ELOUTPUT;;;;;;;
BIODIESEL;EMINES;;;;;;;
BIODIESEL;ENONSPEC;;;;;;;
BIODIESEL;EOILGASEX;;;;;;;
BIODIESEL;EREFINER;;;;;;;
BIODIESEL;EXPORTS;;;;;;;
BIODIESEL;FISHING;seliqbio;feli_otherInd;tdli_otherInd;1;;feagrliquid;
BIODIESEL;FOODPRO;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;HEATOUT;;;;;;;
BIODIESEL;HEAUTOC;pebiolc;sehe;biochp;1;;;
BIODIESEL;HEMAINC;pebiolc;sehe;biochp;1;;;
BIODIESEL;HEMAINH;pebiolc;sehe;biohp;1;;;
BIODIESEL;IMPORTS;;;;;;;
BIODIESEL;INDPROD;;;;;;;
BIODIESEL;INONSPEC;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;IRONSTL;seliqbio;feli_steel;tdli_steel;1;;;
BIODIESEL;MACHINE;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;MAINCHP;;;;;;;
BIODIESEL;MAINELEC;;;;;;;
BIODIESEL;MAINHEAT;;;;;;;
BIODIESEL;MANUFACT;;;;;;;
BIODIESEL;MARBUNK;seliqbio;fedie;tdbiodie;-1;;fetraliquid;
BIODIESEL;MINING;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;NONFERR;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;NONMET;seliqbio;feli_cement;tdli_cement;1;;;
BIODIESEL;ONONSPEC;seliqbio;fehob;tdbiohob;1;;feothliquid;
BIODIESEL;PAPERPRO;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;RAIL;seliqbio;fedie;tdbiodie;1;;fetraliquid;
BIODIESEL;RAIL;rep_seliqbio;rep_fedie;rep_rail;1;;;
BIODIESEL;RESIDENT;seliqbio;fehob;tdbiohob;1;;feresliquid;petrol
BIODIESEL;ROAD;seliqbio;fedie;tdbiodie;1;;fetraliquid;
BIODIESEL;ROAD;rep_seliqbio;rep_fedie;rep_road;1;;;
BIODIESEL;STATDIFF;;;;;;;
BIODIESEL;STOCKCHA;;;;;;;
BIODIESEL;TBLASTFUR;;;;;This flow is an input or output of coke ovens or blast furnaces that is already accounted for under IRONSTL after the tool_fix_IEA_data_for_Industry_subsectors function. Hence, it does not need to be mapped anymore.;;
BIODIESEL;TES;;;;;;;
BIODIESEL;TEXTILES;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;TFC;pebioil;seliqbio;biodiesel;1;;;
BIODIESEL;TGASWKS;seliqbio;feli_otherInd;tdli_otherInd;-1;;feindliquid;
BIODIESEL;TNONSPEC;;;;;;;
BIODIESEL;TOTENGY;;;;;;;
BIODIESEL;TOTIND;;;;;;feindliquid;
BIODIESEL;TOTOTHER;;;;;;;
BIODIESEL;TOTTRANF;;;;;;;
BIODIESEL;TOTTRANS;;;;;;;
BIODIESEL;TPETCHEM;;;;;;;
BIODIESEL;TRANSEQ;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIODIESEL;TRANSFER;;;;;;;
BIODIESEL;TRNONSPE;seliqbio;fedie;tdbiodie;1;;fetraliquid;
BIODIESEL;TRNONSPE;rep_seliqbio;rep_fedie;rep_trnonspe;1;;;
BIODIESEL;WOODPRO;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASES;AGRICULT;segabio;fega_otherInd;tdga_otherInd;1;;feagrgas;
BIOGASES;AUTOCHP;;;;;;;
BIOGASES;AUTOELEC;;;;;;;
BIOGASES;AUTOHEAT;;;;;;;
BIOGASES;CHEMICAL;segabio;fega_chemicals;tdga_chemicals;1;;;
BIOGASES;COMMPUB;segabio;fegab;tdbiogab;1;;fesergas;natgas
BIOGASES;CONSTRUC;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;DISTLOSS;pebiolc;segabio;biogas;-1;;;
BIOGASES;DOMESNAV;segabio;fegat;tdbiogat;1;;fetragas;
