REMINDitems;iea_product;iea_flows;Weight;Factor for OECD countries;magpie_items
pecoal;HARDCOAL;INDPROD;1;1;not_used
pecoal;HARDCOAL;IMPORTS;1;1;not_used
pecoal;HARDCOAL;EXPORTS;1;1;not_used
pecoal;BROWN;INDPROD;1;1;not_used
pecoal;BROWN;IMPORTS;1;1;not_used
pecoal;BROWN;EXPORTS;1;1;not_used
pecoal;ANTCOAL;INDPROD;1;1;not_used
pecoal;ANTCOAL;IMPORTS;1;1;not_used
pecoal;ANTCOAL;EXPORTS;1;1;not_used
pecoal;COKCOAL;INDPROD;1;1;not_used
pecoal;COKCOAL;IMPORTS;1;1;not_used
pecoal;COKCOAL;EXPORTS;1;1;not_used
pecoal;BITCOAL;INDPROD;1;1;not_used
pecoal;BITCOAL;IMPORTS;1;1;not_used
pecoal;BITCOAL;EXPORTS;1;1;not_used
pecoal;SUBCOAL;INDPROD;1;1;not_used
pecoal;SUBCOAL;IMPORTS;1;1;not_used
pecoal;SUBCOAL;EXPORTS;1;1;not_used
pecoal;LIGNITE;INDPROD;1;1;not_used
pecoal;LIGNITE;IMPORTS;1;1;not_used
pecoal;LIGNITE;EXPORTS;1;1;not_used
pecoal;PATFUEL;INDPROD;1;1;not_used
pecoal;PATFUEL;IMPORTS;1;1;not_used
pecoal;PATFUEL;EXPORTS;1;1;not_used
pecoal;OVENCOKE;INDPROD;1;1;not_used
pecoal;OVENCOKE;IMPORTS;1;1;not_used
pecoal;OVENCOKE;EXPORTS;1;1;not_used
pecoal;GASCOKE;INDPROD;1;1;not_used
pecoal;GASCOKE;IMPORTS;1;1;not_used
pecoal;GASCOKE;EXPORTS;1;1;not_used
pecoal;COALTAR;INDPROD;1;1;not_used
pecoal;COALTAR;IMPORTS;1;1;not_used
pecoal;COALTAR;EXPORTS;1;1;not_used
pecoal;BKB;INDPROD;1;1;not_used
pecoal;BKB;IMPORTS;1;1;not_used
pecoal;BKB;EXPORTS;1;1;not_used
pecoal;PEAT;INDPROD;1;1;not_used
pecoal;PEAT;IMPORTS;1;1;not_used
pecoal;PEAT;EXPORTS;1;1;not_used
pecoal;PEATPROD;INDPROD;1;1;not_used
pecoal;PEATPROD;IMPORTS;1;1;not_used
pecoal;PEATPROD;EXPORTS;1;1;not_used
pegas;GASWKSGS;INDPROD;1;1;not_used
pegas;GASWKSGS;IMPORTS;1;1;not_used
pegas;GASWKSGS;EXPORTS;1;1;not_used
pegas;COKEOVGS;INDPROD;1;1;not_used
pegas;COKEOVGS;IMPORTS;1;1;not_used
pegas;COKEOVGS;EXPORTS;1;1;not_used
pegas;BLFURGS;INDPROD;1;1;not_used
pegas;BLFURGS;IMPORTS;1;1;not_used
pegas;BLFURGS;EXPORTS;1;1;not_used
pegas;OGASES;INDPROD;1;1;not_used
pegas;OGASES;IMPORTS;1;1;not_used
pegas;OGASES;EXPORTS;1;1;not_used
pegas;NATGAS;INDPROD;1;1;not_used
pegas;NATGAS;IMPORTS;1;1;not_used
pegas;NATGAS;EXPORTS;1;1;not_used
pebio;INDWASTE;INDPROD;1;1;not_used
pebio;INDWASTE;IMPORTS;1;1;not_used
pebio;INDWASTE;EXPORTS;1;1;not_used
pebio;MUNWASTER;INDPROD;1;1;not_used
pebio;MUNWASTER;IMPORTS;1;1;not_used
pebio;MUNWASTER;EXPORTS;1;1;not_used
pebio;MUNWASTEN;INDPROD;1;1;not_used
pebio;MUNWASTEN;IMPORTS;1;1;not_used
pebio;MUNWASTEN;EXPORTS;1;1;not_used
pebio;PRIMSBIO;INDPROD;1;1;woodfuel
pebio;PRIMSBIO;IMPORTS;1;1;woodfuel
pebio;PRIMSBIO;EXPORTS;1;1;woodfuel
pebio;BIOGASES;INDPROD;1;1;biogas
pebio;BIOGASES;IMPORTS;1;1;biogas
pebio;BIOGASES;EXPORTS;1;1;biogas
